Key,Domain,Topic,Difficulty,Question,Option1,Option2,Option3,Option4,CorrectAnswer,Description,ImagePath,SourceURL
Question_MQ_Parsed_Culture_Normal_0025,Culture,Entertainment,Normal,"After 1988, the Nintendo Entertainment System was offered in two packages.  The package that included the system, two controllers, and the zapper (gun), came with two games.  One was ""Super Mario Bros."", what was the other?",Wild Gunman,Wild Guns,Contra,Duck Hunt,Wild Gunman,,,https://www.funtrivia.com/quiz/entertainment/funtrivia-entertainment-mix-vol-22-419918.html
Question_MQ_Parsed_Culture_Normal_0026,Culture,Entertainment,Normal,Which of these describe a pair of glasses that stay on the face without the help of earpieces?,pince-nez,bioptical,pinhole,riding bow,pince-nez,,,https://www.funtrivia.com/quiz/entertainment/funtrivia-entertainment-mix-vol-22-419918.html
Question_MQ_Parsed_Culture_Normal_0027,Culture,Entertainment,Normal,Which of the following is not a video game console?,Playstation,X-Box,Dreamcast,Playbox,Playstation,,,https://www.funtrivia.com/quiz/entertainment/funtrivia-entertainment-mix-vol-22-419918.html
Question_MQ_Parsed_Culture_Normal_0028,Culture,Entertainment,Normal,"What British fashion house, established in 1856, is famous for producing the classic trench coat with a checkered pattern in shirts, pants, skirts and handbags?",Coco Chanel,Versace,Gucci,Burberry,Coco Chanel,,,https://www.funtrivia.com/quiz/entertainment/funtrivia-entertainment-mix-vol-22-419918.html
Question_MQ_Parsed_Culture_Normal_0029,Culture,Entertainment,Normal,"A strata coaster is a roller coaster with a height between 400 feet and 499 feet. The ""Kingda Ka"" is 456 feet high. Which amusement park in the United States is home to this monster ride?",Hersheypark,Knott's Berry Farm,Six Flags Great Adventure,Magic Kingdom,Hersheypark,,,https://www.funtrivia.com/quiz/entertainment/funtrivia-entertainment-mix-vol-22-419918.html
Question_MQ_Parsed_Culture_Normal_0030,Culture,Entertainment,Normal,"A very popular organization promoting mixed martial arts is the Ultimate Fighting Champions (UFC).  The ""ring"" used is named for its polygonal shape.  Unlike boxing it is not a square; rather it is a(n)",octagon,hexagon,triangle,duodecagon,octagon,,,https://www.funtrivia.com/quiz/entertainment/funtrivia-entertainment-mix-vol-22-419918.html
Question_MQ_Parsed_Culture_Normal_0031,Culture,General,Normal,In which of the following sports are nets NOT involved in scoring in the game?,Basketball,Ice hockey,Badminton,Baseball,Basketball,,,https://www.funtrivia.com/quiz/general/just-general-knowledge-410607.html
Question_MQ_Parsed_Culture_Normal_0032,Culture,General,Normal,What does a funambulist practice?,Playing the harp,Tying fishing flies,Collecting bottle caps,Walking on a tightrope,Playing the harp,,,https://www.funtrivia.com/quiz/general/just-general-knowledge-410607.html
Question_MQ_Parsed_Nature_Normal_0008,Nature,Animals,Normal,"This breed of dog is about the size of a German Shepherd, with the black and tan markings of a Rottweiler or a Doberman Pinscher. It is recognizable by its double dewclaws. What is its name?",Beauceron,Eurasier,Dutch Shepherd,Hovawart,Beauceron,"Originating in the central plains of France, they are also known as Berger de Beauce (sheepdog from Beauce) or Bas Rouge (red-stockings). The picture selected illustrates the characteristic red feet which lead to the latter name. The Beauceron is believed to be one of the breeds used by Karl Friedrich Louis Dobermann in the 1880s as he developed the dog named after him, called the Dobermann in most places, and the Doberman Pinscher in North America.",,https://www.funtrivia.com/quiz/animals/rare-breeds-of-dog-82267.html
Question_MQ_Parsed_Nature_Normal_0009,Nature,Animals,Normal,This black and white dog with a spitz-like appearance (pointed ears and curled tail) was developed in Finland for big game hunting. Which of these is being described?,Karelian Bear Dog,Trigg Hound,Drever,Spanish Water Dog,Karelian Bear Dog,"This black and white dog with a spitz-like appearance (pointed ears and curled tail) was developed in Finland for big game hunting. Their ability to hunt brown bears led to their name, but they also come in handy for those who are in search of moose and wild boars. The breed was developed in the middle of the 20th century as a dog that would distract the quarry by barking loudly - they usually work in a pack, rather than individually - so that the hunter can move in.",,https://www.funtrivia.com/quiz/animals/rare-breeds-of-dog-82267.html
Question_MQ_Parsed_Nature_Normal_0010,Nature,Animals,Normal,"There are four breeds of the Belgian Shepherd dogs. Three of them are common enough in America to be recognized by the AKC. These are the Belgian Sheepdog (Groenendael), the Belgian Tervuren, and the Belgian Malinois. The fourth, the Belgian _____, is still considered a rare breed in America. What is the missing word in its name?",Laekenois,Bretagne,Mallorquin,Kishu,Laekenois,"Three of them are common enough in America to be recognized by the AKC. These are the Belgian Sheepdog (Groenendael), the Belgian Tervuren, and the Belgian Malinois. The fourth, the Belgian _____, is still considered a rare breed in America.",,https://www.funtrivia.com/quiz/animals/rare-breeds-of-dog-82267.html
Question_MQ_Parsed_Nature_Normal_0011,Nature,Animals,Normal,"This dog was created after the Second World War by using a mixture of breeds that included Rottweilers, Giant Schnauzers, Great Danes and Airedale Terriers. The goal was to create a rugged, all-purpose terrier who could survive harsh winters. Which of these breeds is in the picture?",Black Russian Terrier,Anglo-Français,Central Asian Shepherd Dog,Dutch Farm Dog,Black Russian Terrier,"Actually, there is a coated variety, and often both types appear in the same litter. The original dog, as bred by the Aztecs, is thought to have been coated, with the hairless gene arising from a mutation that produced a dominant gene. Homozygous dominant genes are almost always fatal to the developing foetus, so the hairless dog is almost always heterozygous, carrying the recessive gene for a coat. The puppies which get a recessive gene from each parent are born with coats.",,https://www.funtrivia.com/quiz/animals/rare-breeds-of-dog-82267.html
Question_MQ_Parsed_Nature_Normal_0012,Nature,Animals,Normal,"This dog was developed in Mexico, before the time of the Aztecs, and is best known for his lack of hair. Unlike the Chinese Crested dog, which is also called hairless but has long tufts of hair on the head and legs, this dog only has small traces of hair on the top of his head. Which breed is it?",Mayan Hairless Dog,Xoloitzcuintli,Toltecian Hound,Fred,Xoloitzcuintli,"Actually, there is a coated variety, and often both types appear in the same litter. The original dog, as bred by the Aztecs, is thought to have been coated, with the hairless gene arising from a mutation that produced a dominant gene. Homozygous dominant genes are almost always fatal to the developing foetus, so the hairless dog is almost always heterozygous, carrying the recessive gene for a coat. The puppies which get a recessive gene from each parent are born with coats.",,https://www.funtrivia.com/quiz/animals/rare-breeds-of-dog-82267.html
Question_MQ_Parsed_Nature_Normal_0013,Nature,Animals,Normal,"This large dog, usually of a grayish color, is characterized by its great masses of skin, especially around the head and the dewlap. It is speculated that he may be related to the ancient Roman breed, the 'Molossian', which was an aggressive dog used in wars. What breed has just been described?",Neapolitan Mastiff,Grand Basset Bleu Gascogne,Norbottenspets,Bracco Italiano,Neapolitan Mastiff,"They were selectively bred to produce a dog capable of independently working sheep, without direct supervision. They developed into sturdy dogs, known for their ability to run for hours. It is often stated that their breeding included dingoes (native Australian wild dogs), to account for their ear shape and the introduction of a range of red/brown colours into the breed, but genetic analysis has shown that this may not be the case. The image shows a kelpie involved in one of their signature moves - running across the backs of the pack to reach the spot where the sheep need to be prodded into action.",,https://www.funtrivia.com/quiz/animals/rare-breeds-of-dog-82267.html
Question_MQ_Parsed_Nature_Normal_0014,Nature,Animals,Normal,"This is a medium sized dog, but incredibly tough. Bred to be a sheepdog, these dogs can work for hours without tiring. They often have to work by themselves, relying on their own wits and brains to handle the stock. What is their name?",Black Forest Sheepdog,Verelade,Slovensky Cuvac,Australian Kelpie,Australian Kelpie,"They were selectively bred to produce a dog capable of independently working sheep, without direct supervision. They developed into sturdy dogs, known for their ability to run for hours. It is often stated that their breeding included dingoes (native Australian wild dogs), to account for their ear shape and the introduction of a range of red/brown colours into the breed, but genetic analysis has shown that this may not be the case. The image shows a kelpie involved in one of their signature moves - running across the backs of the pack to reach the spot where the sheep need to be prodded into action.",,https://www.funtrivia.com/quiz/animals/rare-breeds-of-dog-82267.html
Question_MQ_Parsed_Nature_Normal_0015,Nature,Animals,Normal,"This amazing dog was originally created around the 1500s to hunt puffins in the tiny caves along the cliffs. Amazingly flexible, he can bend his head entirely backwards, touching the top of his head to his back. He also has at least six toes on each foot, and has the ability to close his ears to keep water out. Whose paw is in the picture?",Wachtelhund,Finnish Spitz,Norwegian Lundehund,Braque Dupy,Norwegian Lundehund,"They are nimble climbers, which helped them in their original purpose of catching puffins (and their eggs) in inaccessible cliffside caves for hundreds of years. That extra toe came in useful. During the twentieth century, when new hunting techniques were developed, interest in the breed diminished, and by the 1960s they were nearly extinct. Efforts to restore the population have included some breeding with other species to reduce the prevalence of several serious disorders caused by extensive inbreeding, including lundehund syndrome, in which the dog loses the ability to absorb nutrients from its food.",,https://www.funtrivia.com/quiz/animals/rare-breeds-of-dog-82267.html
Question_MQ_Parsed_Nature_Normal_0016,Nature,Animals,Normal,"There are four types of setters, three of which are the Irish setter, the English setter and the Gordon setter. What is the fourth setter?",Irish Red and White Setter,Scottish Orange-Ticked Setter,English Black and Tan Setter,French Brush Setter,Irish Red and White Setter,"They get their name from the mixture of black ticking on a background of white hairs that creates an impression of a blue colour. This may cover most of the body, but black spots are also common, and the head and ears are predominantly black, with a blue blaze. They may also have some brown markings, as seen in the muzzle and eyes of the dog in the photo. The second part of the breed's name is descriptive of its purpose - they were bred to hunt raccoons, and will chase any other small animals they encounter up the nearest tree.",,https://www.funtrivia.com/quiz/animals/rare-breeds-of-dog-82267.html
Question_MQ_Parsed_Nature_Normal_0017,Nature,Animals,Normal,"This coonhound is descended mainly from English foxhounds and French dogs, such as the Grand Bleu de Gascogne. He is known for his 'cold nose', or the ability to follow old trails in the pursuit of raccoons. Which type of coonhound is this?",Redbone Coonhound,English Coonhound,American Coonhound,Bluetick Coonhound,Bluetick Coonhound,"They get their name from the mixture of black ticking on a background of white hairs that creates an impression of a blue colour. This may cover most of the body, but black spots are also common, and the head and ears are predominantly black, with a blue blaze. They may also have some brown markings, as seen in the muzzle and eyes of the dog in the photo. The second part of the breed's name is descriptive of its purpose - they were bred to hunt raccoons, and will chase any other small animals they encounter up the nearest tree.",,https://www.funtrivia.com/quiz/animals/rare-breeds-of-dog-82267.html
Question_MQ_Parsed_Nature_Normal_0018,Nature,Animals,Normal,"The ancestors of this breed came from the boar hunting dogs of Germany, when their owner moved to America. Settling in North Carolina, he used his dogs to hunt bears.  What did he call them?",Hygenhund,Treeing Walker Coonhound,Plott Hound,Haldenstovare,Plott Hound,,,https://www.funtrivia.com/quiz/animals/rare-breeds-of-dog-82267.html
Question_MQ_Parsed_Nature_Normal_0019,Nature,Animals,Normal,"This medium sized dog had the unique job of prancing and playing on the shorelines, sometimes disappearing and then quickly reappearing into view. These actions roused the curiosity of the waterfowl, who came to investigate this strange sight. The dog's master shot them when they were in gun range, and the dog would retrieve them. Who is this playful puppy?",Foxy Goose Dog,Icelandic Heron Retriever,Greenland Breccelverg Dog,Nova Scotia Duck Tolling Retriever,Nova Scotia Duck Tolling Retriever,"Tolling is the action of playing around to attract the quarry so that it comes closer (within gunshot range) to investigate; ducks are a typical quarry, and of course the dog's double coat makes it easier to brave the icy waters and retrieve the birds that have been shot. Tollers, as they are called, usually have a reddish-brown coat, possible with white markings, and a head that resembles that of a fox.",,https://www.funtrivia.com/quiz/animals/rare-breeds-of-dog-82267.html
Question_MQ_Parsed_Nature_Normal_0020,Nature,Animals,Normal,"This large dog was developed from the Newfoundland, St. Bernard, Great Pyrenees and Greater Swiss mountain dog, among others. Mayor Heinrich Essig claimed that he created the dog in the 1840s to look like the lion that was on his city's crest. Which of these dogs is now a tawny lion color, sporting a mane?",Leonberger,Munsterlander,Pyrenean Mastiff,Karst Shepherd,Leonberger,"This large dog was developed from the Newfoundland, St. Mayor Heinrich Essig claimed that he created the dog in the 1840s to look like the lion that was on his city's crest. Which of these dogs is now a tawny lion color, sporting a mane.",,https://www.funtrivia.com/quiz/animals/rare-breeds-of-dog-82267.html
Question_MQ_Parsed_Nature_Normal_0021,Nature,Animals,Normal,"This is a sighthound, resembling the greyhound in some respects. Bred in North Africa over many centuries, this ancient breed once hunted everything from desert hare to gazelle to hyena to ostrich. Which of these dogs is now known as a hunter and a protector of herds?",Sloughi,Berner Laufhund,Hungarian Greyhound,Spanish Greyhound,Sloughi,"Bred in North Africa over many centuries, this ancient breed once hunted everything from desert hare to gazelle to hyena to ostrich. Which of these dogs is now known as a hunter and a protector of herds. Sloughi is thought to be a Berber pronunciation of the Arabic word Saluki, which is a similar breed with which the sloughi is thought to have a common ancestry.",,https://www.funtrivia.com/quiz/animals/rare-breeds-of-dog-82267.html
Question_MQ_Parsed_Nature_Normal_0022,Nature,Animals,Normal,"This ""barkless"" dog resembles the dingo. It can make a good pet, but it is still partly a wild dog. Whose most distinct feature is their melodious voice?",Australian Woopali Dog,Calypso Wild Dog,Tibetan Canary Dog,New Guinea Singing Dog,New Guinea Singing Dog,"However, genetic analysis has led to a revisal of that opinion, and they are considered to be a primitive dog, developing in isolation from other canines. Its taxonomy has been highly debated. At one time it was proposed that it should be classified as a separate species (Canis hallstromi); there has also been a suggestion that it and the dingo should be classed as a separate species from other dogs, as Canis lupus dingo instead of Canis lupus familiaris. They are found in the highlands of New Guinea, both in the wild and living within human settlements. While they are called ""barkless"" dogs, this does not mean they are silent. Their vocalisation is a sort of yodeling sound, with a sharp change of pitch, that typically lasts for 3-5 seconds. The image for this question shows one in full song.",,https://www.funtrivia.com/quiz/animals/rare-breeds-of-dog-82267.html
Question_MQ_Parsed_Nature_Normal_0023,Nature,Animals,Normal,"This dog is one of the oldest American breeds, developed in the 1700s for hunting deer and 'herding' the wild and dangerous cattle and pigs. He is well known for his mottled coat, and often one or both eyes will be blue. Who is in the picture?",Culax Deerhound,Black Mouth Cur Dog,North American Mountain Cur,Louisiana Catahoula Leopard Dog,Louisiana Catahoula Leopard Dog,"Most of its names are some mix of the words Louisiana, Catahoula, leopard and hog. It was bred in the Louisiana parish of Catahoula during the 18th century. It has been suggested that French settlers brought Beauceron dogs with them, and cross bred them with local wolfdogs that were adept at hunting in the swamps. They were initially used for hunting, especially feral pigs, but they also have a strong herding instinct. The leopard reference in their name is because they often have a mixture of dark coloured areas and areas where the merle gene produces a lighter colour. However, while merle coats are the most common, brindle and solid colours (usually with some white markings) are also seen. In 1979 it was adopted as the state dog of Louisiana.",,https://www.funtrivia.com/quiz/animals/rare-breeds-of-dog-82267.html
Question_MQ_Parsed_Nature_Normal_0024,Nature,Animals,Normal,"This dog is also known as the French mastiff. He is orange in color, and has the largest head of any dog. He is probably descended from the dogs that accompanied Roman and Macedonian armies throughout their marches. He was later used as a bullfighting dog for the amusement of people at circuses. What breed is this?",Bolonko Britagne Mastiff,Cane Corso,Dogue de Bordeaux,Braque de Franco,Dogue de Bordeaux,"The breed has been identified with the French region of Bordeaux since at least the 14th century. They are a powerful, stocky dog, with their large head a key feature - they have the largest head for their size of any recognized breed of dog. The largest circumference on the head is supposed to be equal to the dog's height!",,https://www.funtrivia.com/quiz/animals/rare-breeds-of-dog-82267.html
Question_MQ_Parsed_Nature_Normal_0025,Nature,Animals,Normal,"Similar to the Maltese and Bichon Frise, this dog is a small, white companion dog. This small dog was once a popular court dog in Italy. What is the name of this ball of fluff?",Bolognese,Italian Spaniel,Volpino Italiano,Kyi-Leo,Bolognese,"Similar to the Maltese and Bichon Frise, this dog is a small, white companion dog. This small dog was once a popular court dog in Italy. They have been popular lap dogs since at least the 11th century.",,https://www.funtrivia.com/quiz/animals/rare-breeds-of-dog-82267.html
Question_MQ_Parsed_Nature_Normal_0026,Nature,Animals,Normal,"This Hungarian breed was descended from the puli, but lost its distinct corded coat when outbred to other dogs, including German Pomeranians, French briards, and several varieties of terriers. He was originally bred for herding cattle. What breed is pictured here?",Ludi,Mudi,Pumi,Kupi,Pumi,"They have a curly double coat, which needs regular grooming to prevent matting. While they were known to develop during the 18th century, it was not until the 20th century that the puli, pumi and mudi (another Hungarian herding breed) were decreed to be separate breeds, not just regional variants of the one breed. While the pumi originated as a sheep dog, and still serves that function, their intelligence and quickness mean they are also popular for obedience and agility competitions, as well as dog dancing.",,https://www.funtrivia.com/quiz/animals/rare-breeds-of-dog-82267.html
Question_MQ_Parsed_Nature_Normal_0027,Nature,Animals,Normal,"This American terrier is descended from many imported terriers as well as whippets, Italian greyhounds and beagles. Sometimes known as feists, they were popularized by President Teddy Roosevelt. There is also a hairless variety that appeared in a litter in 1972. What type of terrier is this?",Rat Terrier,Cesky Terrier,Squirrel Terrier,Patterdale Terrier,Rat Terrier,"This American terrier is descended from many imported terriers as well as whippets, Italian greyhounds and beagles. Sometimes known as feists, they were popularized by President Teddy Roosevelt. There is also a hairless variety that appeared in a litter in.",,https://www.funtrivia.com/quiz/animals/rare-breeds-of-dog-82267.html
Question_MQ_Parsed_Hobbies_Normal_0031,Hobbies,Hobbies,Normal,"In the dark ages, bread was a staple of food consumption, as it is today. They had the choice of flat breads and risen breads. What was bread used for in addition to eating?",Used in the annual bread toss,Used as food for your pets,Used to beat your neighbor,It could be used as payment for wages and rents,Used in the annual bread toss,,,https://www.funtrivia.com/quiz/hobbies/dark-matter-360718.html
Question_MQ_Parsed_Hobbies_Normal_0032,Hobbies,Hobbies,Normal,"In the dark ages, which domesticated animals were the most plentiful and were therefore eaten most regularly?",Horses,Pigeons,Cattle,Pigs,Horses,,,https://www.funtrivia.com/quiz/hobbies/dark-matter-360718.html
Question_MQ_Parsed_Hobbies_Normal_0033,Hobbies,Hobbies,Normal,"In the dark ages, who would have been responsible for the milking of cows and churning of butter?",Children,Ranch hands,Men,Women,Children,,,https://www.funtrivia.com/quiz/hobbies/dark-matter-360718.html
Question_MQ_Parsed_Hobbies_Normal_0034,Hobbies,Hobbies,Normal,"Many vegetables were not eaten, in the dark ages, as we consume them today. Many of the vegetables of the time were used for other purposes. What could be another use for the stinging nettle?",Used to flavor beer,Used to keep out intruders,Used for protection,Used instead of non-stinging nettle,Used to flavor beer,,,https://www.funtrivia.com/quiz/hobbies/dark-matter-360718.html
